id,x,y,z,qx,qy,qz,qw
1257,-98.8527,225.746,-4.64217,-0.0259166,-0.00188464,0.484,0.874682
1258,-96.6007,229.064,-4.71834,-0.029154,-0.0031325,0.455601,0.889701
1259,-93.9448,232.058,-4.78241,-0.035291,0.0017334,0.359389,0.932519
1260,-90.2895,234.29,-4.84912,-0.0381824,-0.00263064,0.18164,0.98262
1261,-86.3659,234.971,-4.81513,-0.0333742,-0.00964884,0.000342379,0.999396
1262,-82.3941,234.167,-4.68046,-0.0274642,-0.0117035,-0.169591,0.985062
1263,-78.5902,232.274,-4.56125,-0.0251459,-0.00686505,-0.257817,0.965842
1264,-75.1421,230.054,-4.45513,-0.024079,-0.00138758,-0.279508,0.95984
1265,-71.6079,227.675,-4.34107,-0.0259957,-0.00135615,-0.283817,0.958525
1266,-67.9789,225.219,-4.23687,-0.0304116,-0.00705349,-0.285317,0.957925
1267,-64.4328,222.792,-4.07659,-0.0304678,-0.0136686,-0.284666,0.958045
1268,-60.9742,220.426,-3.88992,-0.0277679,-0.012029,-0.283712,0.958432
1269,-57.6014,218.132,-3.71007,-0.0231324,-0.00616398,-0.283537,0.958662
1270,-54.1035,215.76,-3.56326,-0.0215242,-0.00389453,-0.281664,0.959264
1271,-50.5886,213.402,-3.46292,-0.0229673,-0.00592625,-0.278741,0.960073
1272,-46.9721,211.018,-3.36115,-0.0231612,-0.00358398,-0.276661,0.960682
1273,-43.2784,208.604,-3.27755,-0.0239503,0.00082367,-0.274156,0.961387
1274,-39.6171,206.252,-3.18563,-0.0253284,-0.00285841,-0.271501,0.962101
1275,-36.1453,204.013,-3.04915,-0.0227855,-0.0058828,-0.277457,0.96045
1276,-32.5793,201.484,-2.91023,-0.0251148,-0.00932383,-0.328611,0.944085
1277,-29.6959,198.553,-2.78066,-0.0209758,0.00484385,-0.449481,0.89303
1278,-27.9023,194.997,-2.6991,-0.02164,-0.00286774,-0.587638,0.808829
1279,-27.3549,190.687,-2.54085,-0.0223488,-0.0065121,-0.724485,0.688897
1280,-28.2456,186.741,-2.37101,-0.00712841,-0.00445491,-0.815377,0.578871
1281,-30.1282,182.817,-2.29998,-0.00431092,-0.00842747,-0.857671,0.514113
1282,-32.2099,179.269,-2.21753,-0.00536793,-0.00710187,-0.86523,0.5013
1283,-34.2786,175.874,-2.13436,0.0072206,0.00688421,0.867632,-0.497108
1284,-36.4061,172.446,-2.04244,0.00795706,0.00892573,0.8686,-0.49537
1285,-38.5567,169.003,-1.97405,0.0068691,0.00767786,0.869588,-0.493671
1286,-40.6784,165.619,-1.88269,0.0078175,0.00652355,0.870518,-0.492033
1287,-42.8122,162.265,-1.78603,0.00863229,0.00633301,0.871094,-0.491001
1288,-45.1312,158.645,-1.67241,0.00932781,0.00861653,0.872509,-0.488434
1289,-47.4504,155.037,-1.54719,0.000967149,0.00416717,0.873024,-0.487658
1290,-49.6189,151.687,-1.50964,0.00011347,0.00377251,0.873579,-0.486667
1291,-52.0022,148.012,-1.47443,0.00186144,0.00247268,0.874235,-0.485493
1292,-54.4447,144.351,-1.42723,0.00389786,0.00383805,0.882843,-0.469636
1293,-57.0798,140.935,-1.37388,0.0041292,0.0038392,0.910385,-0.413725
1294,-60.2327,138.138,-1.33591,-0.00319186,0.00255666,0.95648,-0.291768
1295,-64.1427,136.416,-1.3454,-0.00151079,0.00292943,0.992023,-0.126013
1296,-68.357,136.133,-1.34517,-0.00112669,-0.000306289,0.998773,0.0495113
1297,-72.5501,137.329,-1.33793,-0.0183741,0.00564857,0.980174,0.197205
1298,-76.0762,139.299,-1.48466,-0.0148001,0.0110422,0.962226,0.271626
1299,-79.6123,141.683,-1.63496,-0.0101007,0.0106185,0.957919,0.286665
1300,-83.2322,144.217,-1.75782,-0.00691366,0.01013,0.955551,0.294573
1301,-86.7083,146.724,-1.82139,-0.0126362,0.00780164,0.953704,0.300381
